Date,USD,EUR,GBP,JPY
07-Sep-2018,71.9009,83.6744,93.0364,64.98
06-Sep-2018,71.9214,83.6005,92.8007,64.56
05-Sep-2018,71.7533,83.131,92.2255,64.36
04-Sep-2018,71.1857,82.4919,91.4603,63.92
03-Sep-2018,70.7695,82.1445,91.3582,63.8
31-Aug-2018,70.9255,82.8391,92.353,63.91
30-Aug-2018,70.7329,82.7184,92.1518,63.34
29-Aug-2018,70.5046,82.3376,90.6257,63.42
28-Aug-2018,70.1687,81.9266,90.3263,63.08
27-Aug-2018,70.0366,81.3032,89.9541,63.07
24-Aug-2018,70.1377,81.1699,89.9694,62.98
23-Aug-2018,70.0656,81.0486,90.2576,63.21
21-Aug-2018,69.6668,80.2478,89.3997,63.3
20-Aug-2018,69.7617,79.672,88.8741,63.09
16-Aug-2018,70.2287,79.9718,89.367,63.35
14-Aug-2018,69.7696,79.6997,89.2311,62.9
13-Aug-2018,69.4685,79.1876,88.6274,62.97
10-Aug-2018,68.9538,78.9985,88.1901,62.15
09-Aug-2018,68.624,79.6327,88.3475,61.8
08-Aug-2018,68.6465,79.7169,88.8167,61.74
07-Aug-2018,68.8,79.5599,89.135,61.81
06-Aug-2018,68.6833,79.3805,89.2585,61.71
03-Aug-2018,68.7933,79.6746,89.5171,61.58
02-Aug-2018,68.3566,79.5748,89.5221,61.23
01-Aug-2018,68.6058,80.1151,89.9344,61.21
31-Jul-2018,68.6068,80.3687,90.0862,61.69
30-Jul-2018,68.7531,80.1597,90.1454,61.89
27-Jul-2018,68.7041,79.9821,89.9891,61.84
26-Jul-2018,68.7017,80.6045,90.6633,62.09
25-Jul-2018,68.8028,80.4497,90.5812,61.88
24-Jul-2018,69.053,80.5434,90.3015,61.98
23-Jul-2018,68.704,80.5619,90.2766,61.93
20-Jul-2018,68.8458,80.3114,89.6671,61.27
19-Jul-2018,68.8331,80.1153,89.93,61.01
18-Jul-2018,68.5652,79.7363,89.7258,60.65
17-Jul-2018,68.2978,80.1006,90.516,60.78
16-Jul-2018,68.5877,80.2526,90.8481,61.02
13-Jul-2018,68.4094,79.7617,90.071,60.77
12-Jul-2018,68.6313,80.165,90.672,61.15
11-Jul-2018,68.829,80.7947,91.3453,61.98
10-Jul-2018,68.7942,80.78,91.1051,61.93
09-Jul-2018,68.6573,80.7822,91.4653,62.16
06-Jul-2018,68.8757,80.6328,91.1432,62.25
05-Jul-2018,68.7545,80.4771,91.0722,62.17
04-Jul-2018,68.5312,80.0239,90.5229,62.09
03-Jul-2018,68.6935,80.0211,90.3457,61.91
02-Jul-2018,68.6227,79.9592,90.431,62
29-Jun-2018,68.5753,79.8491,89.9296,62.02
28-Jun-2018,68.9389,79.6382,90.2134,62.53
27-Jun-2018,68.5246,79.8654,90.6032,62.36
26-Jun-2018,68.1676,79.7425,90.472,62.17
25-Jun-2018,68.1466,79.3499,90.2738,62.27
22-Jun-2018,67.7695,78.8566,89.9572,61.61
21-Jun-2018,68.195,78.7925,89.581,61.61
20-Jun-2018,68.0838,78.8274,89.5983,61.82
19-Jun-2018,68.1511,79.1575,90.3071,62.19
18-Jun-2018,68.0248,78.8543,90.2485,61.55
15-Jun-2018,67.9739,78.605,89.9974,61.34
14-Jun-2018,67.6875,79.9254,90.6809,61.52
13-Jun-2018,67.6251,79.3919,90.3336,61.15
12-Jun-2018,67.4571,79.3498,90.062,61.1
11-Jun-2018,67.3353,79.523,90.3707,61.24
08-Jun-2018,67.5228,79.5824,90.6021,61.6
07-Jun-2018,67.0181,79.1015,90.0455,60.91
06-Jun-2018,67.0397,78.6778,89.9472,61.02
05-Jun-2018,67.1794,78.5394,89.4292,61.14
04-Jun-2018,67.0543,78.3597,89.6181,61.14
01-Jun-2018,67.184,78.4104,89.1397,61.56
31-May-2018,67.4526,78.7914,89.7929,62.04
30-May-2018,67.6288,78.1992,89.7028,62.21
29-May-2018,67.8201,78.6984,90.1668,62.27
28-May-2018,67.443,79.0027,89.888,61.75
25-May-2018,68.26,79.8847,91.2158,62.38
24-May-2018,68.3872,80.143,91.4405,62.4
23-May-2018,68.2139,80.24,91.4271,61.74
22-May-2018,68.0187,80.0716,91.2471,61.25
21-May-2018,68.0883,79.9289,91.4085,61.15
18-May-2018,67.9577,80.2784,91.8788,61.31
17-May-2018,67.7156,79.8909,91.6463,61.28
16-May-2018,67.8276,80.2943,91.6826,61.52
15-May-2018,67.5288,80.5281,91.488,61.44
14-May-2018,67.3153,80.5091,91.2459,61.54
11-May-2018,67.2203,80.0863,90.8751,61.43
10-May-2018,67.3786,79.8908,91.3856,61.34
09-May-2018,67.3815,79.746,91.0863,61.49
08-May-2018,67.0809,80.0074,91.1361,61.56
07-May-2018,67.106,80.1179,90.8481,61.44
04-May-2018,66.7681,79.9682,90.5843,61.17
03-May-2018,66.6093,79.8579,90.602,60.79
02-May-2018,66.6636,80.0097,90.6625,60.71
27-Apr-2018,66.7801,80.7438,92.8911,61.08
26-Apr-2018,66.8299,81.3788,93.1676,61.12
25-Apr-2018,66.6983,81.4253,93.1375,61.12
24-Apr-2018,66.3622,81.0548,92.5089,60.98
23-Apr-2018,66.2177,81.269,92.8438,61.4
20-Apr-2018,66.0167,81.458,92.7271,61.4
19-Apr-2018,65.7837,81.3876,93.4194,61.22
18-Apr-2018,65.6814,81.3004,93.9835,61.21
17-Apr-2018,65.6124,81.32,94.2063,61.35
16-Apr-2018,65.4476,80.7362,93.2759,61.02
13-Apr-2018,65.2226,80.3412,92.7726,60.64
12-Apr-2018,65.3496,80.7982,92.7049,61.15
11-Apr-2018,65.1272,80.5884,92.5197,60.84
10-Apr-2018,64.9368,79.9047,91.7492,60.58
09-Apr-2018,64.9287,79.687,91.4975,60.66
06-Apr-2018,64.9884,79.5133,90.9578,60.54
05-Apr-2018,65.0601,79.7767,91.5005,60.78
04-Apr-2018,65.0232,79.79,91.4941,61
03-Apr-2018,65.024,80.0901,91.4563,61.31
28-Mar-2018,65.0441,80.6222,92.2846,61.54
27-Mar-2018,64.7973,80.7634,92.2584,61.36
26-Mar-2018,64.9055,80.2557,91.8672,61.82
23-Mar-2018,65.1333,80.3354,91.9552,62.13
22-Mar-2018,65.0622,80.3713,92.063,61.44
21-Mar-2018,65.2162,79.9616,91.3288,61.28
20-Mar-2018,65.1993,80.4625,91.4942,61.33
19-Mar-2018,65.0375,79.775,90.5582,61.5
16-Mar-2018,64.8737,79.9114,90.4858,61.27
15-Mar-2018,64.9366,80.3201,90.7229,61.27
14-Mar-2018,64.9875,80.5845,90.8265,60.99
13-Mar-2018,64.9567,80.0916,90.2314,60.85
12-Mar-2018,65.0199,80.0915,90.1241,60.96
09-Mar-2018,65.0784,80.1636,89.8537,60.97
08-Mar-2018,64.9212,80.5412,90.2275,61.26
07-Mar-2018,64.9627,80.7486,90.3371,61.55
06-Mar-2018,64.9941,80.2092,89.9063,61.2
05-Mar-2018,65.053,80.0347,89.6951,61.64
01-Mar-2018,65.2261,79.5041,89.7055,61.07
28-Feb-2018,65.1031,79.5885,90.4477,60.8
27-Feb-2018,64.8514,79.9683,90.5844,60.71
26-Feb-2018,64.6639,79.6983,90.6523,60.69
23-Feb-2018,64.8227,79.7643,90.4017,60.59
22-Feb-2018,65.0458,79.8307,90.4137,60.55
21-Feb-2018,64.8161,79.9442,90.6583,60.17
20-Feb-2018,64.5254,79.8566,90.1291,60.35
16-Feb-2018,63.9097,80.1683,90.3108,60.46
15-Feb-2018,63.9222,79.679,89.5486,60.05
14-Feb-2018,64.1259,79.3879,89.1735,59.84
12-Feb-2018,64.2838,78.9341,89.0202,59.14
09-Feb-2018,64.3686,78.8902,89.7105,59.06
08-Feb-2018,64.1616,78.7455,89.191,58.5
07-Feb-2018,64.1377,79.4345,89.4977,58.71
06-Feb-2018,64.2723,79.5241,89.7177,59.05
05-Feb-2018,64.0295,79.7295,90.4033,58.22
02-Feb-2018,64.0781,80.0335,91.3369,58.36
01-Feb-2018,63.6113,78.948,90.1754,58.09
